parent_answer_post_id,prob,snippet,intent,id,question_id
35948246,0.035125469327594555,pattern = '([0-9]+)\\s*[xX*]\\s*(?=[0-9]+)',How to replace all occurrences of regex as if applying replace repeatedly,35948094_35948246_6,35948094
19883433,0.04034048944539042,"l, = ax.plot(x, y)",Print string over plotted line (mimic contour plot labels),19876882_19883433_4,19876882
27407777,0.03895291175484235,self.vec = numpy.array(vector),"Is it possible to write vectors in an i,j,k format?",27405674_27407777_1,27405674
285086,0.037380267744853646,x = XClass(),How do you programmatically set an attribute in Python?,285061_285086_11,285061
34364640,0.02895082649643859,"from pyspark.sql.types import StringType, StructType, StructField",pyspark split a column to multiple columns without pandas,34362412_34364640_5,34362412
383578,0.03322832051818697,"def bicycle(iterable, repeat=1):
    for item in itertools.cycle(iterable):
        pass",How to iterate over a list repeating each element in Python,383565_383578_9,383565
28995315,0.03994215819974606,"def sub2ind(array_shape, rows, cols):
    pass",MATLAB ind2sub equivalent in Python,28995146_28995315_5,28995146
29448362,0.035779425247226986,"return result and ''.join(map(str, result)) or False",BeautifulSoup: get contents[] as a single string,4488836_29448362_5,4488836
9382745,0.032473946794083934,"G.add_edge('A', 'B')
G.add_edge('B', 'C')",How can I find circular relations in a graph with Python and Networkx?,9382660_9382745_13,9382660
7590756,0.027277624779591933,"assert 'Yahoo!' in browser.title
elem = browser.find_element_by_name('p')
elem.send_keys('seleniumhq' + Keys.RETURN)
time.sleep(0.2)
try:
    browser.find_element_by_xpath(
        ""//a[contains(@href,'http://seleniumhq.org')]"")
except NoSuchElementException:
    assert 0, ""can't find seleniumhq""
browser.close()",Embed a web browser in a Python program,7590143_7590756_14,7590143
40446517,0.027772056230233873,self.iterable = iterable,Detecting that an object is repeatedly iterable,40445455_40446517_7,40445455
7166844,0.039742597278444564,"x
s = x.tostring()
numpy.fromstring(s)
y = numpy.fromstring(s).reshape((3, 3))
y",How to restore a 2-dimensional numpy.array from a bytestring?,7165367_7166844_3,7165367
31388442,0.037764270540094826,self.widget.configure(state='normal'),Python : Converting CLI to GUI,12351786_31388442_4,12351786
25858023,0.03708093868341974,sQ = mod1.modulate(sB),Easy way to implement a Root Raised Cosine (RRC) filter using Python & Numpy,14614966_25858023_3,14614966
18090579,0.029296371342798576,"app = Flask(__name__)

@app.route('/')
def main():
    return """"""<div>start</div>
    <script>
        var xhr = new XMLHttpRequest();
        xhr.open('GET', '/test', true);
        xhr.onreadystatechange = function(e) {
            var div = document.createElement('div');
            div.innerHTML = '' + this.readyState + ':' + this.responseText;
            document.body.appendChild(div);
        };
        xhr.send();
    </script>
    """"""

@app.route('/test')
def test():

    def generate():
        app.logger.info('request started')
for i in range(5):
    time.sleep(1)
yield str(i)
app.logger.info('request finished')
yield ''
return Response(generate(), mimetype='text/plain')
if __name__ == '__main__':
    app.run('0.0.0.0', 8080, True)",Need to execute a function after returning the response in Flask,18082683_18090579_16,18082683
21168051,0.034912835901219956,"path = path.replace('/', os.sep).replace('\\', os.sep)",Copy a file with a too long path to another directory in Python,14075465_21168051_5,14075465
1325533,0.04042064141686622,"a = (c_byte * 4)()
a
cast(a, POINTER(c_int))",Mutate an integer array using ctypes,1325518_1325533_1,1325518
29801088,0.028252933732861064,"N = 4
a = np.random.random(20).reshape(4, 5)",how to get the index of the largest n values in a multi-dimensional numpy array,29800393_29801088_8,29800393
6226740,0.0325898423048424,"class Document(Base):
    __tablename__ = 'documents'
name = Column(String, primary_key=True)
author_email = Column(String, ForeignKey('users.email'))
author = relation(User, backref='documents')


class DocumentsPermissions(Base):
    __tablename__ = 'documents_permissions'
id = Column(Integer, primary_key=True)
readAllowed = Column(Boolean)
writeAllowed = Column(Boolean)
document_name = Column(String, ForeignKey('documents.name'))
document = relation(Document, backref='permissions')",sqlalchemy: how to join several tables by one query?,6044309_6226740_12,6044309
13688054,0.033985293900753034,"import re
somestring = 'this is some string rec'
somestring = re.sub(' rec$', '', somestring)",python: remove substring only at the end of string,3663450_13688054_3,3663450
7829569,0.028530472412086758,"for elem in values:
    self.add(elem)",Indexable weak ordered set in Python,7828444_7829569_16,7828444
12786238,0.035126451161652944,"if getattr(sys, 'frozen', False):
    dllname = None
elif __file__:
    dllname = os.path.dirname(__file__)
ntl = logging.handlers.NTEventLogHandler('Python Logging Test', dllname=dllname
    )",NTEventLogHandler from a Python executable,12784033_12786238_9,12784033
31959218,0.03813927630059837,"for link in links:
    if link.find(text=re.compile('Edit')):
        pass",BeautifulSoup - search by text inside a tag,31958637_31959218_11,31958637
18695159,0.033061692922367825,print(list(e)),python equivalent of scala partition,18693175_18695159_6,18693175
29742156,0.0280937791011453,import imageio,How to read mp4 video to be processed by scikit-image?,29718238_29742156_13,29718238
