id,query,hits@5,label candidates,code@1,code@2,code@3,code@4,code@5
2,check if all elements in a list are identical,0,all(x == myList[0] for x in myList),list(set(t)),"[k for k, v in list(Counter(mylist).items()) if v > 1]","[[x, l.count(x)] for x in set(l)]",list(set(source_list)),Counter(l)
284,Non-ASCII characters in Matplotlib,0,"matplotlib.rc('font', **{'sans-serif': 'Arial', 'family': 'sans-serif'})",print('\xd0\xbf\xd1\x80\xd0\xb8'.encode('raw_unicode_escape')),raw_byte_string.decode('unicode_escape'),'Sopet\xc3\xb3n'.encode('latin-1').decode('utf-8'),"""""""\\xF3\\xBE\\x80\\x80"""""".replace('\\x', '').decode('hex')",[chr(i) for i in range(127)]
283,Sorting a list of lists in Python,0,"c2.sort(key=lambda row: row[2]) <EOC> c2.sort(key=lambda row: (row[2], row[1], row[0])) <EOC> c2.sort(key=lambda row: (row[2], row[1]))","sorted(list, key=lambda x: (x[0], -x[1]))","sorted(list_of_strings, key=lambda s: s.split(',')[1])","sorted(x, key=x.get, reverse=True)",mylist.sort(key=lambda x: x['title']),"max(lis, key=lambda item: item[1])[0]"
279,How to update a subset of a MultiIndexed pandas DataFrame,0,"df.xs('sat', level='day', drop_level=False)",df['index1'] = df.index,df['D'] = df['B'],"df['range'].replace(',', '-', inplace=True)",x.set_index('name').index.get_duplicates(),"df.set_index(list('BC')).drop(tuples, errors='ignore').reset_index()"
266,How to use subprocess when multiple arguments contain spaces?,0,subprocess.Popen(['c:\\Program Files\\VMware\\VMware Server\\vmware-cmd.bat']),subprocess.call(['./test.sh']),"subprocess.Popen(['background-process', 'arguments'])","os.system('powershell.exe', 'script.ps1')",subprocess.call(['notepad']),"subprocess.call(['python.exe', 'hello.py', 'htmlfilename.htm'])"
265,Most efficient way to convert items of a list to int and sum them up,0,"sum(int(float(item)) for item in [_f for _f in ['', '3.4', '', '', '1.0'] if _f])",sum([pair[0] for pair in list_of_pairs]),[[sum(item) for item in zip(*items)] for items in zip(*data)],"values = sum([['A', 'B', 'C'], ['D', 'E', 'F'], ['G', 'H', 'I']], [])",L = [int(''.join([str(y) for y in x])) for x in L],"[sum(l[:i]) for i, _ in enumerate(l)]"
250,get current directory - Python,0,os.path.basename(os.path.dirname(os.path.realpath(__file__))),os.chdir(owd),os.path.abspath('mydir/myfile.txt'),os.statvfs('/').f_files - os.statvfs('/').f_ffree,"if (not os.path.exists(directory)):
    os.makedirs(directory)",os.path.isabs(my_path)
249,How to remove symbols from a string with Python?,0,"re.sub('[^\\w]', ' ', s)","re.sub('[^A-Za-z0-9]+', '', mystring)","mystring.replace(' ', '_')","re.sub('^[A-Z0-9]*(?![a-z])', '', string)","re.sub('\\D', '', 'aas30dsa20')","mystring.replace(' ', '! !').split('!')"
247,"How to find the position of an element in a list , in Python?",0,[x for x in range(len(stocks_list)) if stocks_list[x] == 'MSFT'],"[index for index, item in enumerate(thelist) if item[0] == '332']",print(testlist.index(element)),"try:
    print(testlist.index(element))
except ValueError:
    pass","myList.insert(0, 'wuggah')","[i for (i, x) in enumerate(testlist) if (x == 1)]"
246,How to unpack a Series of tuples in Pandas?,0,"pd.DataFrame(out.tolist(), columns=['out-1', 'out-2'], index=out.index)","df['range'].replace(',', '-', inplace=True)","map(None, *[('a', 1), ('b', 2), ('c', 3), ('d', 4), ('e',)])",df.index.get_loc('bob'),"zip(*[('a', 1), ('b', 2), ('c', 3), ('d', 4), ('e',)])",list(t)
241,finding index of multiple items in a list,0,"[i for i, j in enumerate(myList) if 'how' in j.lower() or 'what' in j.lower()]","[index for index, item in enumerate(thelist) if item[0] == '332']",print(testlist.index(element)),"try:
    print(testlist.index(element))
except ValueError:
    pass","[i for (i, x) in enumerate(testlist) if (x == 1)]","for i in [i for (i, x) in enumerate(testlist) if (x == 1)]:
    pass"
240,How to reverse a dictionary in Python?,0,{i[1]: i[0] for i in list(myDictionary.items())},list(dict.keys())[-1],sorted(d.items()),del d['ele'],{i: d[i] for i in d if i != 'c'},sorted(d)
238,Partitioning a string in Python by a regular expression,0,"re.split('(\\W+)', s)","print(re.search('(?P<url>https?://[^\\s]+)', myString).group('url'))","re.findall('\\((.*?)\\)|(\\w)', '(zyx)bc')","[m.group(0) for m in re.finditer('(\\d)\\1*', s)]","re.findall('n(?<=[^n]n)n+(?=[^n])(?i)', s)","print(re.findall(""'\\\\[0-7]{1,3}'"", str))"
235,Create dictionary from lists of keys and multiple values,0,"dict([('Name', 'Joe'), ('Age', 22)])",{k: [d[k] for d in dicts] for k in dicts[0]},"dict((k, [d[k] for d in dicts]) for k in dicts[0])",[dct[k] for k in lst],"print(dict(zip(LD[0], zip(*[list(d.values()) for d in LD]))))",[mydict[x] for x in mykeys]
232,Perform a string operation for every element in a Python list,0,elements = ['%{0}%'.format(element) for element in elements],"myList.insert(0, 'wuggah')","list(map(lambda x, y: x + y, word[:-1], word[1:]))",""""""" """""".join(list)",""""""","""""".join(l)",""""""""""""".join(['a', 'b', 'c'])"
225,Python split a string using regex,0,"re.findall('(.+?):(.+?)\\b ?', text)",[x.strip() for x in '2.MATCHES $$TEXT$$ STRING'.split('$$TEXT$$')],"print(re.findall('(https?://[^\\s]+)', myString))","re.findall('(.*?)\\[.*?\\]', example_str)","re.findall('(.*?)(?:\\[.*?\\]|$)', example_str)","print(re.search('(?P<url>https?://[^\\s]+)', myString).group('url'))"
222,Converting a string into a list in Python,0,"[x for x in myfile.splitlines() if x != ''] <EOC> lst = map(int, open('filename.txt').readlines())","[int(s) for s in user.split(',')]",""""""""""""".join(s.rsplit(',', 1))","text.split(',')","myList = ','.join(map(str, myList))",inputString.split('\n')
214,Python Pandas: How to replace a characters in a column of a dataframe?,0,"df['range'].replace(',', '-', inplace=True)","df.replace({'\n': '<br>'}, regex=True)","""""""obama"""""".replace('a', '%temp%').replace('b', 'a').replace('%temp%', 'b')","df['c'] = np.where(df['a'].isnull, df['b'], df['a'])",df['D'] = df['B'],"""""""it is icy"""""".replace('i', '')"
211,Deleting a specific line in a file (python),0,"f = open('yourfile.txt', 'w')",myfile.write('\n'.join(lines)),"open('outfile', 'w').write('#test firstline\n' + open('infile').read())",file.seek(0),[line.rstrip('\n') for line in file],"target.write('%r\n%r\n%r\n' % (line1, line2, line3))"
208,How do I perform secondary sorting in python?,0,"sorted(list5, lambda x: (degree(x), x)) <EOC> sorted(list5, key=lambda vertex: (degree(vertex), vertex))","ut.sort(key=cmpfun, reverse=True)","sorted(list, key=lambda x: (x[0], -x[1]))","sorted(x, key=x.get, reverse=True)",b.sort(key=lambda x: x[1][2]),"sorted(list(x.items()), key=lambda pair: pair[1], reverse=True)"
