parent_answer_post_id,prob,snippet,intent,id,question_id
32792620,0.03428154114136953,"pattern = re.compile('/(\\w+)\\.mp3$')
for url in urls:
    pass",Find string with regular expression in python,32792602_32792620_8,32792602
17037016,0.0342812839020282,"l.addHandler(streamHandler)

def main():
    setup_logger('log1', 'C:\\temp\\log1.log')
setup_logger('log2', 'C:\\temp\\log2.log')
log1 = logging.getLogger('log1')
log2 = logging.getLogger('log2')
log1.info('Info for log 1!')
log2.info('Info for log 2!')
log1.error('Oh, no! Something went wrong!')
if '__main__' == __name__:
    main()",Python Logging to multiple log files from different classes,17035077_17037016_18,17035077
11728700,0.03428069878521371,"def all_different(objs):
    return len(frozenset(objs)) == len(objs)",Python: determining whether any item in sequence is equal to any other,11728662_11728700_2,11728662
883166,0.03428065172487343,import subprocess,Is there a way to poll a file handle returned from subprocess.Popen?,883152_883166_8,883152
19901478,0.03428036112379946,"Cells(1, 1).Value2 = 'Hello World'",text alignment in xlwt with easyxf,19900972_19901478_7,19900972
11437766,0.0342803155162432,self.elements[name] = KeepTogether(t),Reportlab platypus - disable table splitting,11423399_11437766_1,11423399
36333090,0.03427997641221902,"requests.post(myurl, data=data, headers={'Authorization': 'Token {}'.format
    (mytoken)})",How to use TokenAuthentication for API in django-rest-framework,17560228_36333090_2,17560228
23250377,0.03427981456881108,"B = np.array([0, 0, 0])
np.min(np.nonzero(np.hstack((A, 1))))
np.min(np.nonzero(np.hstack((B, 1))))",Find number of zeros before non-zero in a numpy array,23248169_23250377_6,23248169
25087484,0.034279684804434836,return solution,Stochastic Optimization in Python,25076711_25087484_3,25076711
4622449,0.0342796386113145,"fig = plt.figure()
ax = Axes3D(fig)",Plotting 3D Polygons in python-matplotlib,4622057_4622449_12,4622057
33823004,0.034279565274727274,"A = [9, 5, 34, 33, 32, 31, 300, 30, 3, 256]",How to sort only few values inside a list in Python,33822603_33823004_6,33822603
29967188,0.03427932324624253,"if request.method == 'POST':
    form = CustomerInfoForm(request.POST)",How to upload multiple images in Django using Dropzone for multiple image fields,28623094_29967188_18,28623094
27404221,0.0342793176009363,"def __init__(self, min_, max_):
    pass",Implementing a decorator to limit setters,27403691_27404221_9,27403691
9637908,0.03427914356906593,"import datetime
s = '01/12/2011'
time.mktime(datetime.datetime.strptime(s, '%d/%m/%Y').timetuple())",Convert string date to timestamp in Python,9637838_9637908_4,9637838
16649030,0.03427890285805894,clientEndpoint.connect(factory),Can Perspective Broker be used over stdio instead of TCP?,16642374_16649030_3,16642374
22651263,0.034278789217648396,"def list_routes():
    pass",get a list of all routes defined in the app,13317536_22651263_1,13317536
4917469,0.03427867364126452,"for member in zip_file.namelist():
    filename = os.path.basename(member)",Extract files from zip without keeping the structure using python ZipFile?,4917284_4917469_2,4917284
21272904,0.034278538807813605,sols,How to solve sin(z)=2 in Sympy?,21252482_21272904_2,21252482
36951842,0.03427816836907263,"for key, item in grouped_df:
    pass",How to print a groupby object,22691010_36951842_10,22691010
1375576,0.034278005607853546,"from xml.dom.minidom import parse, parseString
dom1 = parse('c:\\temp\\mydata.xml')
datasource = open('c:\\temp\\mydata.xml')
dom2 = parse(datasource)
dom3 = parseString('<myxml>Some data<empty/> some more data</myxml>')",XML parsing in Python,1373707_1375576_4,1373707
24097246,0.03427787501870079,""""""" For testing code involving file io operations """"""",How to fix mock_open differences in calls but not in end result,22201038_24097246_6,22201038
6602462,0.03427777107397621,"for word in text.split():
    if word.istitle():
        titled.append(word)
else:
    lower.append(word)",how to search for a capital letter within a string and return the list of words with and without capital letters,6602111_6602462_12,6602111
