id,query,hits@5,label candidates,code@1,code@2,code@3,code@4,code@5
182,Python regex separate space-delimited words into a list,0,"re.split(' +', 'hello world sample text')","re.split('(\\W+)', 'Words, words, words.')","re.split('[ ](?=[A-Z]+\\b)', input)","re.split('(\\W+)', s)","re.findall('(.*?)\\[.*?\\]', example_str)","re.split('[ ](?=[A-Z])', input)"
124,Make dictionary from list with python,0,"dict(x[i:i + 2] for i in range(0, len(x), 2))",[dct[k] for k in lst],{k: [d[k] for d in dicts] for k in dicts[0]},"dict([('Name', 'Joe'), ('Age', 22)])","print(dict(zip(LD[0], zip(*[list(d.values()) for d in LD]))))","[(x['x'], x['y']) for x in d]"
265,Most efficient way to convert items of a list to int and sum them up,0,"sum(int(float(item)) for item in [_f for _f in ['', '3.4', '', '', '1.0'] if _f])",sum([pair[0] for pair in list_of_pairs]),[[sum(item) for item in zip(*items)] for items in zip(*data)],"values = sum([['A', 'B', 'C'], ['D', 'E', 'F'], ['G', 'H', 'I']], [])",L = [int(''.join([str(y) for y in x])) for x in L],"[sum(l[:i]) for i, _ in enumerate(l)]"
121,Ending with a for loop in python,0,"print([item for item in [1, 2, 3]])",'ME' + str(i),"[(x + y) for x, y in zip(word, word[1:])]","next(itertools.islice(range(10), 5, 5 + 1))","[i for i, j in enumerate(myList) if 'how' in j.lower() or 'what' in j.lower()]","for line in mylog:
    list1.append(line)"
266,How to use subprocess when multiple arguments contain spaces?,0,subprocess.Popen(['c:\\Program Files\\VMware\\VMware Server\\vmware-cmd.bat']),subprocess.call(['./test.sh']),"subprocess.Popen(['background-process', 'arguments'])","os.system('powershell.exe', 'script.ps1')",subprocess.call(['notepad']),"subprocess.call(['python.exe', 'hello.py', 'htmlfilename.htm'])"
279,How to update a subset of a MultiIndexed pandas DataFrame,0,"df.xs('sat', level='day', drop_level=False)",df['index1'] = df.index,df['D'] = df['B'],"df['range'].replace(',', '-', inplace=True)",x.set_index('name').index.get_duplicates(),"df.set_index(list('BC')).drop(tuples, errors='ignore').reset_index()"
105,Convert tuple to list and back,0,"level1 = map(list, level1)",list(t),len(my_tuple),tuple(l),"map(lambda a: a[0], (('aa',), ('bb',), ('cc',)))","b.append((a[0][0], a[0][2]))"
283,Sorting a list of lists in Python,0,"c2.sort(key=lambda row: row[2]) <EOC> c2.sort(key=lambda row: (row[2], row[1], row[0])) <EOC> c2.sort(key=lambda row: (row[2], row[1]))","sorted(list, key=lambda x: (x[0], -x[1]))","sorted(list_of_strings, key=lambda s: s.split(',')[1])","sorted(x, key=x.get, reverse=True)",mylist.sort(key=lambda x: x['title']),"max(lis, key=lambda item: item[1])[0]"
284,Non-ASCII characters in Matplotlib,0,"matplotlib.rc('font', **{'sans-serif': 'Arial', 'family': 'sans-serif'})",print('\xd0\xbf\xd1\x80\xd0\xb8'.encode('raw_unicode_escape')),raw_byte_string.decode('unicode_escape'),'Sopet\xc3\xb3n'.encode('latin-1').decode('utf-8'),"""""""\\xF3\\xBE\\x80\\x80"""""".replace('\\x', '').decode('hex')",[chr(i) for i in range(127)]
101,How to merge multiple lists into one list in python?,0,['it'] + ['was'] + ['annoying'],a.extend(list(b)),"level1 = map(list, level1)",list2.extend(list1),"b.append((a[0][0], a[0][2]))",len(l)
