id,query,hits@5,label candidates,code@1,code@2,code@3,code@4,code@5
364,"numpy: syntax/idiom to cast (n,) array to a (n, 1) array?",0,"a[:, (np.newaxis)]",numpy.array(a).reshape(-1).tolist(),"x = np.asarray(x).reshape(1, -1)[(0), :]",numpy.array(a)[0].tolist(),"np.column_stack(([1, 2, 3], [4, 5, 6]))","numpy.zeros((3, 3, 3))"
267,how to reverse a priority queue in Python without using classes?,0,"q.put((-n, n))","l.sort(key=lambda t: len(t[1]), reverse=True)",list(reversed(list(range(10)))),"myList.insert(0, 'wuggah')","ut.sort(key=cmpfun, reverse=True)","sorted(list, key=lambda x: (x[0], -x[1]))"
115,How to convert pandas index in a dataframe to a column?,0,"df.reset_index(level=0, inplace=True) <EOC> df['index1'] = df.index <EOC> df.reset_index(level=['tick', 'obs'])",df[df['BoolCol']].index.tolist(),df[df.columns[-1]],df[df['BoolCol'] == True].index.tolist(),"df.loc[df['Letters'] == 'C', 'Letters'].values[0]",df.loc[df['BoolCol']]
271,remove escape character from string,0,"""""""\\a"""""".decode('string_escape')","re.sub('\\D', '', 'aas30dsa20')","re.sub('[^A-Za-z0-9]+', '', mystring)","re.sub('i', '', 'it is icy')","re.sub('^[A-Z0-9]*(?![a-z])', '', string)","re.sub('[^\\sa-zA-Z0-9]', '', text).lower().strip()"
111,Splitting a string with repeated characters into a list using regex,0,"[m.group(0) for m in re.finditer('(\\d)\\1*', s)]","re.split('[ ](?=[A-Z])', input)","re.split('[ ](?=[A-Z]+\\b)', input)","re.split('(\\W+)', s)","re.split('(\\W+)', 'Words, words, words.')","re.split(' +', 'hello world sample text')"
105,Convert tuple to list and back,0,"level1 = map(list, level1)",tuple(l),"b.append((a[0][0], a[0][2]))",list(t),type(v),len(my_tuple)
279,How to update a subset of a MultiIndexed pandas DataFrame,0,"df.xs('sat', level='day', drop_level=False)",df['index1'] = df.index,df['D'] = df['B'],"df.reset_index(level=0, inplace=True)","df.reset_index(level=['tick', 'obs'])","pd.concat([df[0].apply(pd.Series), df[1]], axis=1)"
101,How to merge multiple lists into one list in python?,0,['it'] + ['was'] + ['annoying'],a.extend(list(b)),list2.extend(list1),"[y for x in data for y in (x if isinstance(x, list) else [x])]",[[sum(item) for item in zip(*items)] for items in zip(*data)],"[val for pair in zip(l1, l2) for val in pair]"
283,Sorting a list of lists in Python,0,"c2.sort(key=lambda row: row[2]) <EOC> c2.sort(key=lambda row: (row[2], row[1], row[0])) <EOC> c2.sort(key=lambda row: (row[2], row[1]))","sorted(list_of_strings, key=lambda s: s.split(',')[1])","sorted(list, key=lambda x: (x[0], -x[1]))","ut.sort(key=cmpfun, reverse=True)",b.sort(key=lambda x: x[1][2]),"sorted(x, key=x.get, reverse=True)"
284,Non-ASCII characters in Matplotlib,0,"matplotlib.rc('font', **{'sans-serif': 'Arial', 'family': 'sans-serif'})",[chr(i) for i in range(127)],'Sopet\xc3\xb3n'.encode('latin-1').decode('utf-8'),s.encode('iso-8859-15'),print('\xd0\xbf\xd1\x80\xd0\xb8'.encode('raw_unicode_escape')),"""""""\\x89\\n"""""".decode('string_escape')"
288,open a terminal from python,0,"os.system('gnome-terminal -e \'bash -c ""sudo apt-get update; exec bash""\'')",subprocess.call(['notepad']),"subprocess.call('sleep.sh', shell=True)","subprocess.Popen(['background-process', 'arguments'])","os.system('powershell.exe', 'script.ps1')",subprocess.call(['./test.sh'])
294,Converting two lists into a matrix,0,"np.column_stack(([1, 2, 3], [4, 5, 6]))","np.array([zip(x, y) for x, y in zip(a, b)])","matrix = [[a, b], [c, d], [e, f]]","np.vstack((A, B))","np.concatenate((A, B))","scipy.tensordot(P, T, axes=[1, 1]).swapaxes(0, 1)"
266,How to use subprocess when multiple arguments contain spaces?,0,subprocess.Popen(['c:\\Program Files\\VMware\\VMware Server\\vmware-cmd.bat']),"subprocess.Popen(['background-process', 'arguments'])",subprocess.call(['./test.sh']),"subprocess.check_call('vasp | tee tee_output', shell=True)",inputString.split('\n'),subprocess.call(['notepad'])
