id,query,hits@5,label candidates,code@1,code@2,code@3,code@4,code@5
5,How I can get rid of None values in dictionary?,0,"res = {k: v for k, v in list(kwargs.items()) if v is not None} <EOC> res = dict((k, v) for k, v in kwargs.items() if v is not None)",del d['ele'],{i: d[i] for i in d if i != 'c'},"[value for key, value in list(dict1.items()) if key.startswith('EMP$$')]",list(data['A']['B'].values())[0]['maindata'][0]['Info'],{i[1]: i[0] for i in list(myDictionary.items())}
283,Sorting a list of lists in Python,0,"c2.sort(key=lambda row: row[2]) <EOC> c2.sort(key=lambda row: (row[2], row[1], row[0])) <EOC> c2.sort(key=lambda row: (row[2], row[1]))","sorted(list_of_strings, key=lambda s: s.split(',')[1])","sorted(list, key=lambda x: (x[0], -x[1]))","ut.sort(key=cmpfun, reverse=True)",b.sort(key=lambda x: x[1][2]),"sorted(x, key=x.get, reverse=True)"
279,How to update a subset of a MultiIndexed pandas DataFrame,0,"df.xs('sat', level='day', drop_level=False)",df['index1'] = df.index,df['D'] = df['B'],"df.reset_index(level=0, inplace=True)","df.reset_index(level=['tick', 'obs'])","pd.concat([df[0].apply(pd.Series), df[1]], axis=1)"
271,remove escape character from string,0,"""""""\\a"""""".decode('string_escape')","re.sub('\\D', '', 'aas30dsa20')","re.sub('[^A-Za-z0-9]+', '', mystring)","re.sub('i', '', 'it is icy')","re.sub('^[A-Z0-9]*(?![a-z])', '', string)","re.sub('[^\\sa-zA-Z0-9]', '', text).lower().strip()"
267,how to reverse a priority queue in Python without using classes?,0,"q.put((-n, n))","l.sort(key=lambda t: len(t[1]), reverse=True)",list(reversed(list(range(10)))),"myList.insert(0, 'wuggah')","ut.sort(key=cmpfun, reverse=True)","sorted(list, key=lambda x: (x[0], -x[1]))"
266,How to use subprocess when multiple arguments contain spaces?,0,subprocess.Popen(['c:\\Program Files\\VMware\\VMware Server\\vmware-cmd.bat']),"subprocess.Popen(['background-process', 'arguments'])",subprocess.call(['./test.sh']),"subprocess.check_call('vasp | tee tee_output', shell=True)",inputString.split('\n'),subprocess.call(['notepad'])
265,Most efficient way to convert items of a list to int and sum them up,0,"sum(int(float(item)) for item in [_f for _f in ['', '3.4', '', '', '1.0'] if _f])",[int(''.join(str(d) for d in x)) for x in L],[[sum(item) for item in zip(*items)] for items in zip(*data)],[sum(row[i] for row in array) for i in range(len(array[0]))],"sum(sum(i) if isinstance(i, list) else i for i in L)","[sum(l[:i]) for i, _ in enumerate(l)]"
249,How to remove symbols from a string with Python?,0,"re.sub('[^\\w]', ' ', s)","re.sub('\\D', '', 'aas30dsa20')","re.sub('[^A-Za-z0-9]+', '', mystring)","re.sub('^[A-Z0-9]*(?![a-z])', '', string)",""""""""""""".join([char for char in 'it is icy' if char != 'i'])","re.sub('[^\\sa-zA-Z0-9]', '', text).lower().strip()"
247,"How to find the position of an element in a list , in Python?",0,[x for x in range(len(stocks_list)) if stocks_list[x] == 'MSFT'],print(testlist.index(element)),"[index for index, item in enumerate(thelist) if item[0] == '332']","try:
    print(testlist.index(element))
except ValueError:
    pass","[i for (i, x) in enumerate(testlist) if (x == 1)]","next(i for i, x in enumerate(lst) if not isinstance(x, bool) and x == 1)"
232,Perform a string operation for every element in a Python list,0,elements = ['%{0}%'.format(element) for element in elements],"print([item for item in [1, 2, 3]])","[element for element in lst if not isinstance(element, str)]","print(' '.join(map(str, l)))","[element for element in lst if isinstance(element, int)]",""""""" """""".join(list)"
225,Python split a string using regex,0,"re.findall('(.+?):(.+?)\\b ?', text)","re.split(' +', 'hello world sample text')","re.split('(\\W+)', s)","re.split('[ ](?=[A-Z]+\\b)', input)","mystring.replace(' ', '! !').split('!')","""""""QH QD JC KD JS"""""".split()"
222,Converting a string into a list in Python,0,"[x for x in myfile.splitlines() if x != ''] <EOC> lst = map(int, open('filename.txt').readlines())","re.split('[ ](?=[A-Z])', input)","re.split('[ ](?=[A-Z]+\\b)', input)",""""""""""""".join(s.rsplit(',', 1))","re.split('(\\W+)', s)","print(re.findall(""'\\\\[0-7]{1,3}'"", str))"
219,Python - how to round down to 2 decimals,0,"answer = str(round(answer, 2))","round(1.923328437452, 3)",int(round(2.51 * 100)),"float('123,456.908'.replace(',', ''))",print('{0:.0f}%'.format(1.0 / 3 * 100)),"my_float = float(my_string.replace(',', ''))"
217,Add key to a dictionary,0,"d['mynewkey'] = 'mynewvalue' <EOC> data.update({'a': 1, }) <EOC> data.update(dict(a=1)) <EOC> data.update(a=1)","dict([('Name', 'Joe'), ('Age', 22)])",my_dict.update({'third_key': 1}),[mydict[x] for x in mykeys],{i[1]: i[0] for i in list(myDictionary.items())},len(list(yourdict.keys()))
211,Deleting a specific line in a file (python),0,"f = open('yourfile.txt', 'w')",[line.rstrip('\n') for line in file],[x for x in myfile.splitlines() if x != ''],"open('outfile', 'w').write('#test firstline\n' + open('infile').read())",file.seek(0),myfile.write('\n'.join(lines))
208,How do I perform secondary sorting in python?,0,"sorted(list5, lambda x: (degree(x), x)) <EOC> sorted(list5, key=lambda vertex: (degree(vertex), vertex))","ut.sort(key=cmpfun, reverse=True)","sorted(list, key=lambda x: (x[0], -x[1]))",b.sort(key=lambda x: x[1][2]),"sorted(x, key=x.get, reverse=True)","sorted(list(x.items()), key=lambda pair: pair[1], reverse=True)"
206,Tuple conversion to a string,0,""""""", """""".join('(' + ', '.join(i) + ')' for i in L)",""""""" """""".join([('%d@%d' % t) for t in l])",""""""" """""".join([('%d@%d' % (t[0], t[1])) for t in l])",tuple(l),"b.append((a[0][0], a[0][2]))",list(t)
200,Regular Expression to find brackets in a string,0,"brackets = re.sub('[^(){}[\\]]', '', s)","re.findall('(.*?)(?:\\[.*?\\]|$)', example_str)","re.findall('(.*?)\\[.*?\\]', example_str)","re.search('\\[(.*)\\]', your_string).group(1)","re.findall('(.+?):(.+?)\\b ?', text)","re.findall('""(http.*?)""', s, re.MULTILINE | re.DOTALL)"
284,Non-ASCII characters in Matplotlib,0,"matplotlib.rc('font', **{'sans-serif': 'Arial', 'family': 'sans-serif'})",[chr(i) for i in range(127)],'Sopet\xc3\xb3n'.encode('latin-1').decode('utf-8'),s.encode('iso-8859-15'),print('\xd0\xbf\xd1\x80\xd0\xb8'.encode('raw_unicode_escape')),"""""""\\x89\\n"""""".decode('string_escape')"
194,"Regex, find pattern only in middle of string",0,"re.findall('n(?<=[^n]n)n+(?=[^n])(?i)', s)","re.findall('(.+?):(.+?)\\b ?', text)","re.search('\\[(.*)\\]', your_string).group(1)","re.findall('\\(.*?\\)|\\w', '(zyx)bc')","re.findall('\\(.+?\\)|\\w', '(zyx)bc')","re.split(' +', 'hello world sample text')"
288,open a terminal from python,0,"os.system('gnome-terminal -e \'bash -c ""sudo apt-get update; exec bash""\'')",subprocess.call(['notepad']),"subprocess.call('sleep.sh', shell=True)","subprocess.Popen(['background-process', 'arguments'])","os.system('powershell.exe', 'script.ps1')",subprocess.call(['./test.sh'])
299,Extending a list of lists in Python?,0,y = [[] for n in range(2)],a.extend(list(b)),list2.extend(list1),a.extend(b),c.extend(a),"level1 = map(list, level1)"
357,Subtract a value from every number in a list in Python?,0,a[:] = [(x - 13) for x in a],"sum(int(float(item)) for item in [_f for _f in ['', '3.4', '', '', '1.0'] if _f])",[int(''.join(str(d) for d in x)) for x in L],numlist = [float(x) for x in numlist],"[element for element in lst if isinstance(element, int)]",[int(1000 * random.random()) for i in range(10000)]
354,How do I get all the keys that are stored in the Cassandra column family with pycassa?,0,list(cf.get_range().get_keys()),"df.to_sql('test', engine, schema='a_schema')",cursor.fetchone()[0],"db.GqlQuery('SELECT * FROM Schedule WHERE station = $1', foo.key())",session.execute('INSERT INTO t1 (SELECT * FROM t2)'),"db.execute(""INSERT INTO present VALUES('test2', ?, 10)"", (None,))"
353,Sorting a dictionary of tuples in Python,0,b.sort(key=lambda x: x[1][2]),"list.sort(key=lambda item: (item['points'], item['time']))","sorted(list(x.items()), key=lambda pair: pair[1], reverse=True)",mylist.sort(key=lambda x: x['title']),list_of_dicts.sort(key=operator.itemgetter('age')),"l.sort(key=lambda x: (x['title'], x['title_url'], x['id']))"
